측정 연도,측정 차수,정점명,정점 유형,위도,경도,수층,수심,수온,염분,수소이온농도,용존산소량,포화도,클로로필에이,투명도
2021,1,표선,,33.310963,126.84267,표층,,14.9,34.81,8.15,8.19,100.4,0.28,10
2021,1,표선,,33.310963,126.84267,저층,,14.9,34.89,8.19,8.12,99.6,0.45,10
2021,1,일과,,33.23898,126.218788,표층,,16.2,34.91,8.29,7.96,100.1,1.3,11
2021,1,일과,,33.23898,126.218788,저층,,16.1,34.96,8.33,7.92,99.6,1.07,11
2021,1,귀덕,,33.449008,126.277462,표층,,15,34.95,8.29,8.25,101.3,0.67,9
2021,1,귀덕,,33.449008,126.277462,저층,,14.9,34.97,8.3,8.2,100.6,0.63,9
2021,1,추자,,33.002008,126.336012,표층,,11.2,33.91,8.2,8.94,100.9,0.41,3
2021,1,추자,,33.002008,126.336012,저층,,11.7,34.21,8.25,8.71,99.5,0.69,3
2021,1,사계,,33.207283,126.312183,표층,,16.3,34.96,8.23,7.96,100.3,0.56,10
2021,1,사계,,33.207283,126.312183,저층,,16.2,34.98,8.25,7.88,99.2,0.97,10
2021,2,조천,,33.547402,126.630983,표층,,17.9,34.67,8.34,7.51,97.5,0.71,10
2021,2,조천,,33.547402,126.630983,저층,,17.5,34.8,8.32,7.24,93.3,0.5,10
2021,2,평대,,33.539425,126.847253,표층,,17.9,34.64,8.28,7.61,98.7,0.33,10
2021,2,평대,,33.539425,126.847253,저층,,17.9,34.65,8.3,7.54,97.8,0.62,10
2021,2,우도,,33.510485,126.976897,표층,,16.2,34.92,8.34,7.67,96.4,0.37,7
2021,2,우도,,33.510485,126.976897,저층,,15.9,34.94,8.33,7.54,94.4,0.64,7
2021,2,표선,,33.310963,126.84267,표층,,19.2,34.69,8.37,7.84,104.1,1.08,9
2021,2,표선,,33.310963,126.84267,저층,,18.3,34.73,8.34,7.41,96.8,1.03,9
2021,2,일과,,33.23898,126.218788,표층,,18.4,34.62,8.26,7.64,100.1,0.32,8
2021,2,일과,,33.23898,126.218788,저층,,17.2,34.64,8.24,7.35,94,0.66,8
2021,2,귀덕,,33.449008,126.277462,표층,,17.1,34.88,8.37,8.08,103.5,0.46,8
2021,2,귀덕,,33.449008,126.277462,저층,,16.7,35,8.36,7.77,98.8,1.05,8
2021,2,추자,,33.002008,126.336012,표층,,15.2,34.03,8.37,8.31,101.9,0.83,7
2021,2,추자,,33.002008,126.336012,저층,,14.9,34.22,8.34,7.84,95.7,1.03,7
2021,2,사계,,33.207283,126.312183,표층,,18.4,34.66,8.34,7.74,101.4,0.56,10
2021,2,사계,,33.207283,126.312183,저층,,18.1,34.74,8.33,7.63,99.3,0.86,10
2021,3,조천,,33.547402,126.630983,표층,,25.6,29.72,8.46,7.02,101.7,0.05,10
2021,3,조천,,33.547402,126.630983,저층,,23.7,31.13,8.41,6.87,97,0.58,10
2021,3,평대,,33.539425,126.847253,표층,,26.9,30.99,8.48,7.06,105.2,0.61,9
2021,3,평대,,33.539425,126.847253,저층,,26.1,31.3,8.46,6.98,102.7,1.35,9
2021,3,우도,,33.510485,126.976897,표층,,22.1,32.26,8.38,7.05,97.5,0.52,8
2021,3,우도,,33.510485,126.976897,저층,,19.9,33.24,8.33,6.7,89.6,0.96,8
2021,3,표선,,33.310963,126.84267,표층,,28.8,30.49,8.44,7.32,122.3,1.07,7
2021,3,표선,,33.310963,126.84267,저층,,26.6,31.65,8.43,7.59,113.1,2.93,7
2021,3,일과,,33.23898,126.218788,표층,,25,29.88,8.51,6.84,98.1,0.85,8
2021,3,일과,,33.23898,126.218788,저층,,19.2,33.29,8.34,6.17,81.4,0.45,8
2021,3,귀덕,,33.449008,126.277462,표층,,28,27.5,8.55,6.97,103.8,0.34,9
2021,3,귀덕,,33.449008,126.277462,저층,,22.3,32.02,8.36,6.73,93.2,0.91,9
2021,3,추자,,33.002008,126.336012,표층,,26.6,30.33,8.48,6.79,100.3,0.36,8
2021,3,추자,,33.002008,126.336012,저층,,17,33.15,8.25,5.65,71.4,0.24,8
2021,3,사계,,33.207283,126.312183,표층,,27.2,31.81,8.5,6.66,100.3,0.04,8
2021,3,사계,,33.207283,126.312183,저층,,23.8,32.52,8.42,6.38,91,0.96,8
2021,3,곽지,,33.458617,126.289333,표층,,28.1,28.64,8.53,7.22,108.3,0.68,8
2021,3,곽지,,33.458617,126.289333,저층,,23.3,32.26,8.37,6.14,86.8,0.38,8
2021,4,조천,,33.547402,126.630983,표층,,20.4,33.67,8.33,6.92,93.5,0.67,10
2021,4,조천,,33.547402,126.630983,저층,,20.3,33.7,8.34,6.62,89.2,0.5,10
2021,4,평대,,33.539425,126.847253,표층,,20.6,33.92,8.33,7.04,95.5,0.76,9
2021,4,평대,,33.539425,126.847253,저층,,20.5,33.96,8.34,6.94,94.2,1.14,9
2021,4,우도,,33.510485,126.976897,표층,,21.2,34.13,8.37,7.17,98.5,1.13,12
2021,4,우도,,33.510485,126.976897,저층,,20.4,34.19,8.35,6.55,88.8,1.23,12
2021,4,표선,,33.310963,126.84267,표층,,23,34.18,8.44,6.74,95.7,0.35,15
2021,4,표선,,33.310963,126.84267,저층,,21,33.9,8.4,6.51,89.2,1.24,15
2021,4,일과,,33.23898,126.218788,표층,,22.4,34.24,8.36,6.52,91.6,0.66,10
2021,4,일과,,33.23898,126.218788,저층,,22.4,34.26,8.37,6.48,91.2,0.96,10
2021,4,귀덕,,33.449008,126.277462,표층,,22,33.96,8.41,6.67,92.6,1.08,10
2021,4,귀덕,,33.449008,126.277462,저층,,21.7,33.86,8.39,6.5,90.1,0.9,10
2021,4,추자,,33.002008,126.336012,표층,,17,33.61,8.26,6.51,82.5,0.59,6
2021,4,추자,,33.002008,126.336012,저층,,16.9,33.63,8.27,6.44,81.5,0.99,6
2021,4,사계,,33.207283,126.312183,표층,,18.3,34.47,8.44,7.18,93.7,0.11,10
2021,4,사계,,33.207283,126.312183,저층,,18.3,34.45,8.43,7.03,91.7,0.2,10
2021,4,곽지,,33.458617,126.289333,표층,,20.7,34.9,8.34,7.26,99.3,1.55,10
2021,4,곽지,,33.458617,126.289333,저층,,21.5,34.3,8.37,6.48,89.7,0.87,10
